is_member_true,score_lr,score_rf,pred_lr,pred_rf
1,0.5022370750524533,0.635,1,1
1,0.49944585274718106,0.595,0,1
1,0.501146896119959,0.61,1,1
1,0.501448236042869,0.64,1,1
1,0.4996053191128235,0.57,0,1
1,0.5003288762552348,0.565,1,1
1,0.49980014945087364,0.57,0,1
1,0.4994923474340653,0.56,0,1
1,0.5011490880091783,0.605,1,1
1,0.4998240143156671,0.555,0,1
1,0.5004392921170783,0.57,1,1
1,0.5012232294738523,0.58,1,1
1,0.5014262089378868,0.635,1,1
1,0.5009553924952008,0.585,1,1
1,0.5014302379621515,0.635,1,1
1,0.50298723245258,0.645,1,1
1,0.5004247880993511,0.565,1,1
1,0.50279554309177,0.63,1,1
1,0.5012704116756646,0.6,1,1
1,0.4993447896918701,0.59,0,1
1,0.5002580599689377,0.57,1,1
1,0.5005677923764114,0.57,1,1
1,0.5014540422386503,0.645,1,1
1,0.5026261563786919,0.65,1,1
1,0.4997028025854553,0.585,0,1
1,0.501432153008641,0.59,1,1
1,0.5024764697970715,0.635,1,1
1,0.5009926186370878,0.58,1,1
1,0.4992979904832902,0.585,0,1
1,0.5016515505172007,0.6,1,1
1,0.5002153957134301,0.57,1,1
1,0.5011634845277532,0.62,1,1
1,0.49953415813886565,0.59,0,1
1,0.5012668109930218,0.605,1,1
1,0.4993631017938203,0.58,0,1
1,0.5011233321326332,0.625,1,1
1,0.4998771916937204,0.555,0,1
1,0.5014919602098947,0.635,1,1
1,0.5002015941391305,0.585,1,1
1,0.5010148777903646,0.59,1,1
1,0.5015616579746017,0.625,1,1
1,0.5026422193461062,0.65,1,1
1,0.5028879616557109,0.64,1,1
1,0.5024510586452803,0.625,1,1
1,0.5028007058702126,0.63,1,1
1,0.4991684083761177,0.585,0,1
1,0.5002831637950764,0.565,1,1
1,0.4998483775975474,0.57,0,1
1,0.5002793421791949,0.565,1,1
1,0.5027491571113224,0.645,1,1
1,0.5024165353053426,0.625,1,1
1,0.49944423118495634,0.58,0,1
1,0.499148925406076,0.585,0,1
1,0.49982683799430455,0.6,0,1
1,0.49921366785100274,0.575,0,1
1,0.4993910104904334,0.585,0,1
1,0.5010475797406001,0.615,1,1
1,0.4999784542856517,0.55,0,1
1,0.5007726125458317,0.575,1,1
1,0.5014279348481961,0.59,1,1
1,0.5007431366591587,0.58,1,1
1,0.500740458308694,0.58,1,1
1,0.5024957253037571,0.63,1,1
1,0.5025635330051997,0.64,1,1
1,0.49934837340363347,0.56,0,1
1,0.49926577959140395,0.575,0,1
1,0.4993473942995059,0.565,0,1
1,0.5000094922665302,0.555,1,1
1,0.501432101775648,0.635,1,1
1,0.5027266085351746,0.65,1,1
1,0.5005926558020974,0.565,1,1
1,0.50266476402457,0.65,1,1
1,0.5000501708445172,0.59,1,1
1,0.5001758143896768,0.57,1,1
1,0.5010413840298196,0.61,1,1
1,0.5016479792873328,0.64,1,1
1,0.499390784449068,0.585,0,1
1,0.499967646622935,0.6,0,1
1,0.5015132223613852,0.58,1,1
1,0.5012184131008459,0.595,1,1
1,0.5002215472784675,0.575,1,1
1,0.501565550990285,0.615,1,1
1,0.49977551141153304,0.6,0,1
1,0.5026656888951658,0.65,1,1
1,0.5004417384665242,0.57,1,1
1,0.5012265393009117,0.585,1,1
1,0.5020891522154053,0.59,1,1
1,0.501536486179123,0.635,1,1
1,0.5014848406411873,0.635,1,1
1,0.5026602760243087,0.65,1,1
1,0.500447016721629,0.59,1,1
1,0.5012341419725104,0.585,1,1
1,0.5017416841510846,0.59,1,1
1,0.5007162466041978,0.57,1,1
1,0.5000616835593141,0.59,1,1
1,0.5001412980141552,0.585,1,1
1,0.5009547726080956,0.585,1,1
1,0.5006554264686177,0.585,1,1
1,0.5017309703190738,0.595,1,1
1,0.5005415687845127,0.58,1,1
1,0.5009302094586016,0.59,1,1
1,0.5026715649165623,0.65,1,1
1,0.5009837260725851,0.58,1,1
1,0.5003320502569226,0.59,1,1
1,0.5013879992139886,0.595,1,1
1,0.5000440338335596,0.56,1,1
1,0.49921075572518114,0.575,0,1
1,0.5017689995828221,0.595,1,1
1,0.5014477820465638,0.645,1,1
1,0.5022901198984898,0.645,1,1
1,0.500139427157276,0.56,1,1
1,0.5016909991709286,0.605,1,1
1,0.5004587467659338,0.565,1,1
1,0.5015525150891321,0.625,1,1
1,0.49956828347968946,0.57,0,1
1,0.5025869729786794,0.655,1,1
1,0.5002975388214852,0.575,1,1
1,0.49914758748634763,0.585,0,1
1,0.5027741120588664,0.63,1,1
1,0.49953114016270267,0.59,0,1
1,0.5016001031775409,0.63,1,1
1,0.5016184743107017,0.605,1,1
1,0.5010871216378707,0.61,1,1
1,0.5010692845084261,0.595,1,1
1,0.5006295191203954,0.5916666666666667,1,1
1,0.5004878122761892,0.56,1,1
1,0.4991446047566118,0.585,0,1
1,0.5007056942489841,0.565,1,1
1,0.5029269152421657,0.645,1,1
1,0.5008695713702193,0.58,1,1
1,0.5010243586502819,0.615,1,1
1,0.5012223767203735,0.595,1,1
1,0.502446637044646,0.615,1,1
1,0.5013073151619354,0.61,1,1
1,0.4994864568923852,0.555,0,1
1,0.501164531227885,0.62,1,1
1,0.5000494951561901,0.555,1,1
1,0.5013556560973117,0.62,1,1
1,0.5014391332791303,0.64,1,1
1,0.5016149253119156,0.63,1,1
1,0.5024138379994976,0.63,1,1
1,0.5013814235276022,0.655,1,1
1,0.5019527812590137,0.625,1,1
1,0.5015044160640387,0.64,1,1
1,0.50139803995628,0.59,1,1
1,0.5016696534193437,0.605,1,1
1,0.5005662772327873,0.575,1,1
1,0.4998276314584052,0.6,0,1
1,0.5006343975542558,0.585,1,1
1,0.5008840887145974,0.59,1,1
1,0.49931855883419357,0.59,0,1
1,0.5006327877176838,0.585,1,1
1,0.5027497719666838,0.645,1,1
1,0.5012111975008419,0.595,1,1
1,0.5027506033837496,0.645,1,1
1,0.5010008293744915,0.585,1,1
1,0.5003961577367521,0.595,1,1
1,0.5000922431997855,0.57,1,1
1,0.5013566361252706,0.62,1,1
1,0.5010484576459809,0.615,1,1
1,0.5029446399644921,0.64,1,1
1,0.502880145396609,0.64,1,1
1,0.5026304548622139,0.65,1,1
1,0.5013921280413091,0.64,1,1
1,0.5018393663500877,0.615,1,1
1,0.502692846408444,0.65,1,1
1,0.5028361076461264,0.64,1,1
1,0.4991844438192115,0.58,0,1
1,0.49950860063126634,0.58,0,1
1,0.5006902626956611,0.575,1,1
1,0.5005050339575228,0.575,1,1
1,0.5011286263504292,0.625,1,1
1,0.5004233714529572,0.565,1,1
1,0.5000939923667922,0.6,1,1
1,0.5002911002858175,0.565,1,1
1,0.5015157689949558,0.58,1,1
1,0.500676777482146,0.585,1,1
1,0.5014234437882482,0.635,1,1
1,0.4998705989848159,0.605,0,1
1,0.5028608267732327,0.63,1,1
1,0.5028568871778141,0.635,1,1
1,0.4992429720158433,0.58,0,1
1,0.5027224656856218,0.65,1,1
1,0.5001235876293698,0.5616666666666668,1,1
1,0.4992968889510019,0.58,0,1
1,0.49997263523381175,0.6,0,1
1,0.49971201863886494,0.57,0,1
1,0.5001093528001931,0.57,1,1
1,0.5016977633866166,0.65,1,1
1,0.502579229161785,0.65,1,1
1,0.5014838359971103,0.58,1,1
1,0.5029683160749946,0.645,1,1
1,0.4997471893521418,0.585,0,1
1,0.500556844744126,0.575,1,1
1,0.5003559691320792,0.56,1,1
1,0.5009943453982367,0.58,1,1
1,0.5006791312216667,0.585,1,1
1,0.501270223018557,0.6,1,1
1,0.5005703070668914,0.595,1,1
1,0.5024274030708382,0.615,1,1
1,0.5019053806960951,0.62,1,1
1,0.5017767655150254,0.595,1,1
1,0.5014615332834903,0.65,1,1
1,0.5005244900646401,0.585,1,1
1,0.5014946404039032,0.635,1,1
1,0.5007409226399812,0.58,1,1
1,0.49928415681710364,0.585,0,1
1,0.502678003262128,0.65,1,1
1,0.49956213963752255,0.585,0,1
1,0.5029660362825864,0.64,1,1
1,0.5022456415070227,0.625,1,1
1,0.49943874560255636,0.58,0,1
1,0.49943648815957864,0.595,0,1
1,0.49919062821407106,0.58,0,1
1,0.5027379748001443,0.655,1,1
1,0.4992425837205881,0.575,0,1
1,0.5012162138573685,0.595,1,1
1,0.5006056273482054,0.58,1,1
1,0.5016729591316486,0.635,1,1
1,0.5006670754367398,0.585,1,1
1,0.49934212054870125,0.59,0,1
1,0.5023330087873714,0.635,1,1
1,0.49990159049899907,0.605,0,1
1,0.5016067866125054,0.605,1,1
1,0.5023344587331828,0.635,1,1
1,0.5030133659129827,0.645,1,1
1,0.5024317713863623,0.615,1,1
1,0.49953026664220024,0.59,0,1
1,0.5016622934281765,0.635,1,1
1,0.5009398653932154,0.585,1,1
1,0.501602866958193,0.63,1,1
1,0.49949745167913984,0.565,0,1
1,0.5029832335615801,0.65,1,1
1,0.5010295388269426,0.615,1,1
1,0.501700108236667,0.65,1,1
1,0.5011821869356621,0.6,1,1
1,0.501404123371541,0.58,1,1
1,0.5014748295524153,0.645,1,1
1,0.5015348205512185,0.635,1,1
1,0.5009947702178057,0.585,1,1
1,0.5013762163669773,0.6,1,1
1,0.5007433471684232,0.58,1,1
1,0.500971867351506,0.58,1,1
1,0.5022050541859149,0.645,1,1
1,0.5002203445926632,0.57,1,1
1,0.5011220025101016,0.625,1,1
1,0.5027623970456766,0.64,1,1
1,0.5025478531489966,0.63,1,1
1,0.5015564340191866,0.63,1,1
1,0.500068442930693,0.595,1,1
1,0.5005362390346842,0.595,1,1
1,0.5027950709634783,0.63,1,1
1,0.49920411190208386,0.575,0,1
1,0.5001815656308932,0.59,1,1
